Tool,Model,Safety,Liveness,DRF,Total,Time,Time/Tests
Sabre,PTX6.0,106,73,0,179,16.616999999999997,0.09283240223463686
Alloy,PTX6.0,0,0,0,0,0,0
Sabre,PTX7.5,235,73,0,308,21.913,0.0711461038961039
Alloy,PTX7.5,160,0,0,160,124.2284767627716,0.7764279797673226
Sabre,VMM,103,73,100,276,37.275,0.13505434782608694
Alloy,VMM,97,0,81,178,218.94536638259888,1.2300301482168476
